SSID;BSSID;Security;Frequency;Capabilities;Sinal Strength;Rel Signal Strength
Ana_Int;f8:d1:11:20:c4:be;WPA-PSK;2432;;;24
nderme_int;00:4f:62:1f:e8:0c;WEP;2462;;;28
VARGAS2;00:e0:20:32:10:a4;WPA-PSK;2462;WPS;;28
Otica Bella;c4:e9:84:e1:ba:f4;WPA-PSK;2412;WPS;;26
lucas;ce:23:3a:bd:2c:4b;WPA-PSK;2462;WPS;;26
Mari_Diogo;c8:3a:35:09:83:b8;WPA-PSK;2412;;;28
So Pagando;e8:de:27:df:78:d0;WPA-PSK;2462;WPS;;17
RestMario_Int;30:b5:c2:ce:5a:24;WPA-PSK;2422;WPS;;26
MM_Int;c8:3a:35:08:d1:98;WPA-PSK;2422;;;24
Luciano;1c:7e:e5:89:8e:b2;WPA-PSK;2412;WPS;;20
CLUBEUNIAO*;82:9d:98:b9:f2:1b;WPA-PSK;2452;WPS;;20
WiFi_Alexandre;c4:6e:1f:e5:01:a4;WPA-PSK;2437;;;22
Sandra_Int;c4:6e:1f:94:51:b2;WPA-PSK;2412;WPS;;26
wifiannai;00:e0:4b:cf:15:66;WPA-PSK;2462;WPS;;22
Tevah_int;c0:4a:00:7d:b5:d4;WPA-PSK;2462;WPS;;26
Oi_Velox_WiFi_896A;00:18:e7:a0:89:6a;WPA-PSK;2412;;;42
virtual_moveis;e8:de:27:7f:43:fa;WPA-PSK;2462;WPS;;28
Malu_Int;00:1a:3f:c6:1a:98;WPA-PSK;2432;WPS;;42
JP;d0:84:b0:a1:32:08;WPA-PSK;2412;WPS;;35
Rose-;00:1a:3f:a9:90:76;WPA-PSK;2412;;;33
Vanessa Nicola;ce:40:08:6d:d6:79;WPA-PSK;2412;WPS;;42
Ella_Shoes;14:cc:20:83:05:cc;WPA-PSK;2427;WPS;;22
marcos_montagner;e8:de:27:7f:49:b8;WPA-PSK;2462;WPS;;35
Giovana_Int;54:e6:fc:b9:80:9c;WPA-PSK;2432;WPS;;40
Laboratorio;f0:7d:68:df:b4:1a;WPA-PSK;2437;;;33
Casagireli_Int;c4:e9:84:42:16:28;WPA-PSK;2427;WPS;;26
Marilaine;c4:e9:84:b8:84:de;WPA-PSK;2452;WPS;;24
Claiton;c4:e9:84:49:3c:18;WPA-PSK;2412;WPS;;26
Brum;54:e6:fc:98:01:06;WPA-PSK;2412;;;48
M3studio;d0:84:b0:96:20:ee;WPA-PSK;2462;WPS;;33
JB_Calcados;30:b5:c2:51:41:34;WPA-PSK;2437;WPS;;28
SOL DE OURO;82:5a:42:e3:cf:1e;WPA-PSK;2412;WPS;;26
Carlos_;c4:6e:1f:df:3f:24;WPA-PSK;2427;WPS;;42
Belochio_Int;f4:f2:6d:21:d6:68;WPA-PSK;2412;WPS;;28
Paulo_Vaz;14:cc:20:b7:7f:02;WPA-PSK;2462;WPS;;24
GAUCHA;74:ea:3a:b8:d0:b2;WPA-PSK;2427;WPS;;31
AP 603;14:cc:20:37:72:01;WPA-PSK;2462;WPS;;22
sanwirep2h;00:0c:42:69:9b:1d;WEP;2427;;;33
Kero presentes;a0:f3:c1:94:a0:ea;WPA-PSK;2412;WPS;;46
GIOVANA;f8:1a:67:e3:17:44;WPA-PSK;2462;WPS;;22
maninha;c8:91:f9:a2:04:47;WPA-PSK;2462;WPS;;17
sanwireo;00:02:6f:51:8e:c0;;2437;;;37
GORSKI;c0:4a:00:54:be:28;WPA-PSK;2412;WPS;;22
Sarah Concept;e8:de:27:63:a6:6a;WPA-PSK;2437;WPS;;28
$ifra Consultoria;94:0c:6d:ed:4a:c0;WPA-PSK;2427;WPS;;22
CESARHOLANDA;00:18:e7:a0:af:58;WEP;2452;WPS;;24
Sarah Gestao ;90:f6:52:a7:38:78;WPA-PSK;2427;WPS;;33
PELLEGRINI;8c:10:d4:c4:68:f9;WPA-PSK;2412;WPS;;22
Carlos;c8:91:f9:a2:2d:92;WPA-PSK;2412;WPS;;20
santiago;78:54:2e:eb:b7:1a;WPA-PSK;2412;WPS;;40
Maconaria_Int;c4:e9:84:b2:1d:8e;WPA-PSK;2427;WPS;;28
NS2-BEL;00:0c:42:6e:1f:49;WPA-PSK;2442;;;35
Dutra;00:24:01:98:88:0c;WPA-PSK;2442;;;24
Andressa;1c:af:05:ba:6f:09;WPA-PSK;2437;;;22
Ilha Bella;00:1a:3f:97:69:24;;2462;WPS;;24
Olga2;00:1a:3f:28:b4:55;WPA-PSK;2462;;;28
Dpil;d0:84:b0:1e:2c:00;WPA-PSK;2462;WPS;;22
ZR_TECNOLOGIA;e8:de:27:ce:d1:90;WPA-PSK;2437;WPS;;31
TRI;c4:6e:1f:f3:f7:94;WPA-PSK;2437;WPS;;22
Alquimia;c4:e9:84:3d:15:3c;WPA-PSK;2412;WPS;;28
Reginato;82:24:0c:c5:65:3f;WPA-PSK;2412;WPS;;37
Farmácia Ilha Bella;e8:de:27:b3:cc:6c;WPA-PSK;2412;WPS;;24
Goelzer;d8:5d:4c:df:11:d2;WPA-PSK;2412;WPS;;35
Paula_Fank;54:64:d9:bc:92:de;WPA-PSK;2462;WPS;;22
MULTICELL;f0:7d:68:de:f5:16;WPA-PSK;2437;;;35
Luminar;c8:3a:35:58:7e:e8;WPA-PSK;2417;;;33
Natalin;c8:3a:35:1c:2c:68;WPA-PSK;2437;WPS;;20
Parceria;b0:48:7a:b3:f0:48;WPA-PSK;2417;WPS;;17
Status;28:cf:da:b0:84:37;WPA-PSK;2462;;;37
VirusParts;c0:4a:00:57:24:f4;WPA-PSK;2417;WPS;;20
Lan House Marcon;64:66:b3:5b:f4:cc;WPA-PSK;2412;WPS;;28
Bem-Me-Quer;64:70:02:6c:f8:a2;WPA-PSK;2422;WPS;;24
Tecnoplan1;e8:de:27:63:a6:40;WPA-PSK;2412;WPS;;31
CAVEIRA;e8:de:27:c8:6b:6f;WPA-PSK;2412;WPS;;33
SEG-Santiago;64:70:02:df:d1:e3;WPA-PSK;2437;;;20
Lehnhard;00:22:b0:44:75:b9;WEP;2437;;;20
Francisco_Int;c4:6e:1f:f4:02:8e;WPA-PSK;2422;WPS;;22
Nandico;c0:4a:00:69:20:f6;WPA-PSK;2447;WPS;;17
HP-Print-D9-Deskjet 2540 series;9c:b6:54:d8:5a:d9;WPA-PSK;2437;;;17
Tamiosso_Int;e8:94:f6:cb:fe:10;WPA-PSK;2422;WPS;;24
Tusi_escritorio2;a0:f3:c1:b1:12:7c;WPA-PSK;2437;WPS;;22
papelaria;00:21:91:75:64:36;WPA-PSK;2422;;;28
Tecnoplan;d8:5d:4c:c8:70:82;WPA-PSK;2472;;;28
Jorge_int;c4:e9:84:b8:8d:10;WPA-PSK;2427;WPS;;24
HP-Print-9D-Officejet Pro 8620;a0:2b:b8:72:3c:9d;WPA-PSK;2437;;;26
Cristiano_Int;e8:de:27:72:48:54;WPA-PSK;2427;WPS;;22
HENRIQUE-WIFI;00:18:39:a7:95:24;WEP;2427;;;20
LauraTusi_Int;c4:e9:84:47:7b:ac;WPA-PSK;2422;WPS;;48
Nascimento;58:10:8c:bd:69:a8;WPA-PSK;2462;;;22
Verdes_Pampas;00:1a:3f:86:44:62;WPA-PSK;2462;;;26
Ana Tusi;f4:ec:38:f2:61:ec;WPA-PSK;2462;;;22
Tamiosso2_Int;54:e6:fc:9c:23:ca;WPA-PSK;2422;WPS;;40
Familia_Nascimento;c8:3a:35:5a:4e:10;WPA-PSK;2462;;;31
tusi_escritorio;00:24:01:17:73:f5;WEP;2462;;;46
PC;c0:4a:00:57:24:f8;WPA-PSK;2437;WPS;;33
fudacao gaucha;5a:75:ca:0c:c8:f4;WPA-PSK;2412;WPS;;17
Hawai_WiFi;c4:e9:84:66:bc:f8;WPA-PSK;2412;WPS;;28
Hawai;64:70:02:59:72:f7;WPA-PSK;2462;WPS;;28
25_horas;64:70:02:6d:0c:12;WPA-PSK;2432;WPS;;22
Marco_Int;c4:e9:84:a8:b7:40;WPA-PSK;2462;WPS;;17
Betres;5a:2a:9c:55:5e:72;WPA-PSK;2447;WPS;;33
Emerson;d8:5d:4c:a2:a5:ee;WEP;2462;;;20
PADARIA PAO E GRAOS;e2:17:f5:3e:27:dd;WPA-PSK;2452;WPS;;24
Debora;64:66:b3:92:e6:e8;WPA-PSK;2417;WPS;;20
LETICIA;c4:12:f5:70:85:7a;WPA-PSK;2412;WPS;;33
TP-LINK_D9BC42;90:f6:52:d9:bc:42;WPA-PSK;2432;;;48
Queler;30:b5:c2:0c:64:d2;WPA-PSK;2412;WPS;;44
DIPESOM;5a:41:16:d4:b2:c5;WPA-PSK;2412;WPS;;40
Greatek;78:44:76:71:0d:0c;;2462;;;51
Lula;00:1a:3f:b7:f2:fc;WPA-PSK;2412;;;26
Castiel;84:c9:b2:60:10:3e;WPA-PSK;2412;WPS;;33
NemTentaViado;c8:3a:35:46:03:e0;WPA-PSK;2462;;;20
NetSul 32510087;90:f6:52:56:45:06;WPA-PSK;2412;WPS;;31
ARIZOLI;f8:1a:67:d3:26:b8;WPA-PSK;2437;WPS;;28
Partido;00:26:5a:d5:ef:63;;2412;;;37
Snake;c8:3a:35:2b:47:10;WPA-PSK;2437;WPS;;33
adalmir;b2:03:ba:bc:dc:d7;WPA-PSK;2427;WPS;;22
DELEVATTI1;10:fe:ed:8e:45:80;WPA-PSK;2462;WPS;;26
Cirurgica_Stgo;fc:f5:28:db:78:f8;WPA-PSK;2462;WPS;;28
WagnerLF ;5a:b6:7b:d3:5f:cc;WPA-PSK;2412;WPS;;42
Wagner(CASA);14:d6:4d:ba:e8:68;WPA-PSK;2437;WPS;;26
Mekal_Claiton;64:70:02:6d:0d:8a;WPA-PSK;2412;WPS;;40
maristelapolga;c4:6e:1f:3c:ad:14;WEP;2437;WPS;;24
Gilberto_Int;90:8d:78:62:a5:98;WPA-PSK;2432;WPS;;46
Denise_INT;00:25:86:bc:ac:44;WPA-PSK;2437;;;35
Thais;30:b5:c2:ce:5b:4e;WPA-PSK;2412;WPS;;28
wireom1p3;00:0c:42:6b:89:b8;WEP;2427;;;24
ANA;82:51:be:31:61:58;WPA-PSK;2452;WPS;;24
Lennon NET;fe:0a:38:a7:6e:9c;WPA-PSK;2447;WPS;;33
Iara;c8:3a:35:03:89:e8;WPA-PSK;2437;;;33
dichet;64:66:b3:6b:ee:5e;WPA-PSK;2462;WPS;;24
IdaSantiago;30:b5:c2:a0:77:94;WPA-PSK;2462;WPS;;24
Marli Martins;64:66:b3:38:77:0a;WPA-PSK;2437;WPS;;31
Factoring;5c:d9:98:76:30:2e;WPA-PSK;2437;;;17
INTRANETG;64:66:b3:ae:d8:d2;WPA-PSK;2462;WPS;;20
Navegacao;e6:8d:8c:ab:e8:db;WPA-PSK;2412;;;35
G;e4:8d:8c:ab:e8:db;WPA-PSK;2412;;;35
Roslise;00:1a:3f:26:bd:7b;WPA-PSK;2412;;;24
Guasso_Home;08:10:74:3f:46:18;WPA-PSK;2462;;;33
FOLHA;e8:de:27:ce:f4:c0;WPA-PSK;2437;WPS;;26
Leonora;c8:3a:35:37:49:40;WPA-PSK;2462;;;20
HotelGloria;90:f6:52:69:92:26;WPA-PSK;2412;WPS;;31
Lirio_Int;90:f6:52:af:b3:e4;WPA-PSK;2427;WPS;;24
Rose_wifi;00:1a:3f:e0:33:1f;WPA-PSK;2462;;;28
Veterinaria;5a:01:27:e9:ed:56;WPA-PSK;2452;;;35
hpsetup;e2:85:64:20:c9:d0;;2437;;;17
Centro de Radiologia;ce:f2:fd:d2:8e:dd;WPA-PSK;2462;WPS;;22
Thais_Int;a0:f3:c1:3b:3b:80;WPA-PSK;2432;WPS;;26
NADIR;5a:ea:0b:43:a8:18;WPA-PSK;2457;WPS;;26
Felipe_Int;f4:ec:38:b1:fa:ae;WPA-PSK;2427;WPS;;26
aquario;08:10:74:3e:be:62;WPA-PSK;2462;;;33
CONSULTORIO402;c0:4a:00:c3:f5:54;WPA-PSK;2437;WPS;;26
Guasso_ADM;d4:ca:6d:fa:52:ad;WPA-PSK;2462;;;44
Marcelo_Int;30:b5:c2:de:46:04;WPA-PSK;2417;WPS;;33
Malaquias_Int;78:44:76:20:fe:8f;WPA-PSK;2437;;;37
consultorio_501;54:e6:fc:eb:28:08;WPA-PSK;2462;;;28
Maronez;90:f6:52:a6:0d:a4;WPA-PSK;2462;WPS;;26
Dr.Rafael;f8:1a:67:6b:77:6c;WPA-PSK;2412;WPS;;40
Eli;b2:bc:4d:8a:71:d4;WPA-PSK;2412;WPS;;40
FRANCO;30:b5:c2:ce:64:9c;WPA-PSK;2462;WPS;;26
HCS_U400;54:e6:fc:a7:08:2c;WPA-PSK;2462;;;26
Vanessa;8c:10:d4:21:04:56;WPA-PSK;2412;WPS;;28
HP-Print-b4-LaserJet 400 color;9c:ad:97:2b:7d:b4;;2437;;;33
HERON;28:28:5d:99:7b:4c;WPA-PSK;2412;WPS;;33
gilsonguerin;f8:1a:67:f7:7f:b2;WPA-PSK;2437;WPS;;28
OURIQUE;c8:3a:35:21:e5:88;WPA-PSK;2427;;;20
CPD_HCS;00:18:e7:a0:34:42;WPA-PSK;2412;;;17
JULIA;f8:1a:67:c0:0f:b8;WPA-PSK;2462;WPS;;28
HCS_U300;54:e6:fc:a3:f8:de;WPA-PSK;2412;;;26
STRS;1c:af:f7:5f:91:d4;WPA-PSK;2427;;;26
ANDRESCORP;14:d6:4d:32:28:8e;WPA-PSK;2412;WPS;;44
VR;00:26:5a:63:0b:58;WPA-PSK;2437;;;40
TUIUTI;64:70:02:62:ad:0e;WPA-PSK;2437;WPS;;20
wireom10;00:02:6f:52:9f:8d;WEP;2452;;;28
GABRIEL;64:66:b3:2e:54:aa;WPA-PSK;2457;WPS;;35
Renato;c8:3a:35:5a:d4:50;WPA-PSK;2437;;;20
Olavo;00:21:91:73:ce:22;WPA-PSK;2412;;;28
Posto_27;c0:4a:00:ac:d6:4a;WPA-PSK;2447;WPS;;24
TOCO;00:25:86:c2:6b:fe;WPA-PSK;2422;WPS;;31
Perufo;30:b5:c2:0d:35:56;WPA-PSK;2437;WPS;;31
nao_sei;c8:3a:35:5a:2b:40;WPA-PSK;2462;;;24
Suzana;00:1a:3f:55:85:2a;WEP;2437;;;28
andre;c4:6e:1f:df:79:2e;WPA-PSK;2422;WPS;;42
OMAR;00:26:5a:ac:1b:7a;WEP;2412;WPS;;37
wireom7-p2h;00:02:6f:61:93:b1;WEP;2437;;;48
Mimo e bichos;e2:21:10:14:ba:01;WPA-PSK;2462;WPS;;28
wireom7-p1h;00:02:6f:4f:3d:18;WEP;2412;;;24
MarcioParaiba;c8:3a:35:0b:88:80;WPA-PSK;2437;;;33
Michele;1c:af:f7:5e:ad:9e;WEP;2437;;;22
Manu_int;58:10:8c:b9:e7:0e;WPA-PSK;2417;;;20
Suemiboff;00:23:cd:f9:91:b0;WEP;2437;;;31
Marcio_oi;8c:10:d4:21:01:a1;WPA-PSK;2412;WPS;;22
WIFI BONOTTO;1c:af:f7:61:6d:ec;WPA-PSK;2437;;;33
wireom7-p4h;00:02:6f:66:62:06;WEP;2422;;;24
Wir_Maiara;74:ea:3a:e5:c1:ca;WPA-PSK;2412;WPS;;31
Renokar;f8:1a:67:5d:e9:e6;WPA-PSK;2417;WPS;;24
Rhuander;00:27:19:e9:82:12;WPA-PSK;2437;;;22
Viviane;1c:af:f7:55:c2:ac;WPA-PSK;2437;;;33
M D MOTO PECAS;82:cc:b5:36:10:99;WPA-PSK;2462;WPS;;26
HP862A5E;02:2f:ff:f7:11:f2;;2457;;;28
Noedi;e8:de:27:d9:99:66;WPA-PSK;2427;WPS;;24
DAPIEVE;00:1a:3f:d3:bc:aa;WPA-PSK;2462;WPS;;20
Gordo_lava_car;00:1a:3f:bc:d9:90;WPA-PSK;2417;;;26
Lucieli;00:1a:3f:6f:40:f2;WPA-PSK;2462;;;20
doroti_int;00:26:5a:59:cf:6a;WEP;2437;;;17
Miguel_Int;64:66:b3:c1:c7:18;WPA-PSK;2432;WPS;;22
LUCIA_NET;f8:d1:11:ae:80:c6;WEP;2462;;;22
EstSaberTomasFortes;14:d6:4d:7e:df:b0;;2437;WPS;;22
NS2-DEL-L;4c:5e:0c:11:44:fe;WPA-PSK;2432;;;37
PC MARCON 2 PISO;c4:e9:84:b8:4d:04;WPA-PSK;2412;WPS;;26
Sonia;e2:ce:79:fb:21:b8;WPA-PSK;2412;WPS;;53
LAB_INF;64:66:b3:f7:e5:4e;WPA-PSK;2417;WPS;;17
# C.A.R.C #;74:ea:3a:b1:6d:f6;WPA-PSK;2462;WPS;;20
INT_ ;e8:b4:c8:21:c8:56;WPA-PSK;2462;;;33
AndroidAP;9c:65:b0:df:c3:ad;WPA-PSK;2437;;;28
Paulo;00:0e:f4:d6:f9:cc;WPA-PSK;2437;;;20
Thomas_int;00:24:01:98:5c:90;WPA-PSK;2447;;;24
Recursos Multifuncionais;10:fe:ed:6f:74:c8;WPA-PSK;2437;WPS;;20
Felipe;00:1a:3f:4d:51:86;WPA-PSK;2472;;;31
Aparicio;3c:e5:b4:09:e7:d8;WPA-PSK;2412;WPS;;24
Tiago_Int;30:b5:c2:ce:28:c6;WPA-PSK;2417;WPS;;20
SAFESOFT1678CB;b2:30:82:b0:b0:07;WEP;2412;;;33
DL140.4.0.0.18;00:1d:c9:d1:54:9b;;2437;;;22
espacodellas;e8:de:27:97:58:ec;WPA-PSK;2432;WPS;;20
Elisabe;c4:6e:1f:e4:d9:88;WPA-PSK;2427;WPS;;20
Lourdes;64:66:b3:ed:08:4a;;2412;WPS;;31
wF;00:25:86:e1:b2:b6;WPA-PSK;2427;;;22
wireom4-p1h;00:0c:42:69:05:43;WEP;2437;;;28
Carvalho;00:1a:ef:15:23:bc;WPA-PSK;2412;WPS;;20
wF_2;14:cc:20:9a:ba:0a;WPA-PSK;2442;WPS;;24
Crisane  e Clerison;5a:22:3c:63:3e:f7;WPA-PSK;2412;WPS;;22
D-Link_DIR-610;3c:1e:04:7d:d2:9e;WPA-PSK;2432;;;22
N1;00:27:22:1a:1d:0c;WPA-PSK;2412;;;33
DL83.4.0.0.18;00:1d:c9:d0:98:9d;;2422;;;15
Adriana;54:e6:fc:e8:ce:94;WPA-PSK;2412;;;20
Luciana;b2:c0:29:5b:de:92;WPA-PSK;2412;WPS;;20
Jane;c8:3a:35:5a:8a:f8;WPA-PSK;2437;;;20
Milene;c4:e9:84:b8:89:50;WPA-PSK;2412;WPS;;26
B;b8:55:10:29:68:7c;WPA-PSK;2437;;;31
HP-Print-3C-Deskjet 2540 series;c4:34:6b:29:fc:3c;WPA-PSK;2437;;;24
Ivone;00:1a:3f:28:db:a9;WPA-PSK;2462;;;26
Jian Nunes;3c:e5:b4:00:23:00;WPA-PSK;2412;;;31
wireom6-p4h;00:0c:42:69:0d:b0;WEP;2427;;;28
Marana_int;c8:3a:35:24:f8:a0;WPA-PSK;2437;;;24
FIALHO;90:f6:52:b8:22:2c;WPA-PSK;2412;WPS;;17
wireom17-p1h;00:0c:42:6a:3e:91;WEP;2457;;;22
MinhaNet;c8:3a:35:24:fd:b8;WPA-PSK;2437;;;20
Luciane_int;c4:e9:84:b8:55:6c;WPA-PSK;2417;WPS;;20
wireom6-p3;00:0c:42:68:53:99;WEP;2457;;;24
NS2-DEL-B;4c:5e:0c:11:45:04;WPA-PSK;2462;;;35
NetMais04;00:27:22:1e:7c:38;WPA-PSK;2432;;;17
Karen;14:cc:20:66:3b:d8;WPA-PSK;2462;WPS;;22
SAPPS_duduronchicostenar-ic5;c6:3a:be:d3:35:69;;2437;WPS;;22
Flor do Leste;58:48:22:62:3a:90;WPA-PSK;2412;WPS;;24
RHADMINISTRATIVO;58:10:8c:b6:40:5e;WPA-PSK;2462;;;26
wireom5-p4h;00:0c:42:69:03:7a;WEP;2472;;;26
Josias_Int;c8:3a:35:2c:4f:10;WPA-PSK;2437;;;48
Rede_richer;c8:3a:35:13:77:e8;WPA-PSK;2462;;;48
Rede-Ana;00:1a:3f:ae:f4:79;WPA-PSK;2462;WPS;;17
NS2-GD;d4:ca:6d:c0:11:37;WPA-PSK;2484;;;33
Canabarro;c4:e9:84:41:c5:58;WPA-PSK;2437;WPS;;31
RICCO;00:e0:4c:f8:08:e0;WEP;2412;;;28
NS2-SJ-R;68:72:51:0c:de:40;WPA-PSK;2422;;;28
wireom5-p3;00:0b:6b:80:cd:a5;WEP;2457;;;28
Candida;c8:3a:35:49:68:e8;WPA-PSK;2412;;;26
Cadia_Int;30:b5:c2:d4:fa:cc;WPA-PSK;2422;WPS;;26
Edilberto Aguirre;e8:de:27:cc:66:36;WPA-PSK;2462;WPS;;20
Direcao;94:0c:6d:f1:82:5a;WPA-PSK;2412;;;26
Oficina;30:b5:c2:ce:28:68;WPA-PSK;2422;WPS;;24
ArianeCL_INT;10:fe:ed:0f:3a:86;WPA-PSK;2432;WPS;;17
Melo Pneus;c4:6e:1f:2a:06:d0;WPA-PSK;2462;WPS;;31
Renan;30:b5:c2:21:97:98;WPA-PSK;2442;WPS;;22
Mila;00:1a:3f:ae:cf:14;WPA-PSK;2412;WPS;;22

Laila_Int;c4:6e:1f:6d:76:0a;WPA-PSK;2427;WPS;;17
Camila_Int;c8:3a:35:1a:46:28;WPA-PSK;2432;;;22
Roselaine_Int;c4:6e:1f:f3:9c:e8;WPA-PSK;2427;WPS;;26
Alisson;30:b5:c2:bc:b5:e0;WPA-PSK;2437;WPS;;24
Marilia_Int;c4:e9:84:bd:55:52;WPA-PSK;2452;WPS;;20
Sandra_Int;c4:e9:84:b8:56:94;WPA-PSK;2457;WPS;;26
Cleuza;c4:e9:84:41:c5:5e;WPA-PSK;2462;WPS;;24
Laura;58:10:8c:b9:e8:84;WPA-PSK;2462;;;22
HP-Print-48-Deskjet 3510 series;74:46:a0:fa:0b:48;;2412;;;26
Eron_WiFi;14:cc:20:fa:6f:aa;WPA-PSK;2437;;;24
Cleusa_int;64:70:02:82:a1:64;WPA-PSK;2427;WPS;;24
Carlos_Int;c4:e9:84:c5:cd:00;WPA-PSK;2452;WPS;;22
Lisandro;c4:e9:84:c5:9c:48;WPA-PSK;2452;WPS;;20
Geovane_Int;64:66:b3:ec:ff:88;WPA-PSK;2427;WPS;;20
Chagas;10:fe:ed:3d:7a:42;WPA-PSK;2437;WPS;;26
Nadia_Int;30:b5:c2:d5:1d:74;WPA-PSK;2422;WPS;;26
sanwiren;00:0c:42:68:30:c6;;2442;;;28
MARIN;64:66:b3:a5:d3:0a;WPA-PSK;2457;WPS;;22
Massuquetto;64:66:b3:52:28:20;WPA-PSK;2437;WPS;;22
Ana;e8:de:27:c1:ae:c0;WPA-PSK;2412;WPS;;22
